Ziffer-Index;Erkannt als;Richtige Antwort:
6;9;4
7;3;9
8;8;5
15;2;5
16;4;9
23;3;5
32;9;3
33;6;4
40;7;1
42;9;4
43;3;2
44;7;3
45;8;5
46;4;1
48;9;4
52;3;5
53;3;5
58;7;9
59;9;5
65;9;4
68;9;3
77;3;2
87;9;3
95;9;4
96;4;1
97;8;7
102;3;5
104;3;9
105;4;9
106;0;2
109;9;4
115;6;4
116;9;4
120;3;5
121;6;4
125;3;9
127;8;5
129;3;5
132;8;5
133;9;7
139;9;4
144;9;7
149;3;2
151;3;9
152;8;5
153;8;5
155;8;5
159;9;4
160;6;4
162;8;5
163;7;4
165;8;5
166;3;4
167;3;5
169;7;4
171;3;7
173;0;3
182;9;5
187;8;5
189;6;1
191;4;1
195;6;3
198;9;4
199;3;2
207;8;5
210;7;4
211;8;5
213;7;3
218;9;5
219;3;5
221;3;2
222;8;2
226;6;8
227;6;4
236;3;2
240;8;5
241;0;9
243;9;7
244;3;2
245;8;3
247;6;4
250;9;4
253;3;5
258;3;2
259;0;6
261;9;5
268;0;8
269;4;0
283;8;5
284;4;9
285;3;2
289;6;5
290;6;8
293;3;2
300;6;4
301;9;7
304;9;4
308;9;4
313;6;3
317;6;5
319;8;5
320;7;9
321;7;2
325;6;4
326;6;2
333;8;5
335;2;3
336;3;9
338;0;8
340;6;5
341;4;6
343;2;3
347;8;5
349;7;3
351;8;5
352;0;5
356;3;5
362;7;2
363;6;2
364;8;5
367;8;5
371;6;2
375;8;5
376;9;4
381;7;3
382;9;3
387;3;2
390;0;2
394;7;9
395;8;5
397;3;5
399;7;4
400;0;2
402;2;3
405;3;4
406;8;5
408;2;3
412;3;5
420;6;4
421;0;2
423;3;2
425;0;4
428;8;4
433;6;5
435;9;8
437;9;3
443;8;0
445;0;6
447;8;4
448;8;9
449;2;3
452;3;2
453;2;3
454;4;9
456;9;2
460;9;5
462;8;6
464;9;3
468;2;7
469;9;5
471;7;9
475;0;4
478;3;5
479;3;9
483;9;5
484;9;4
488;7;9
491;3;5
493;2;3
