Ziffer-Index;Erkannt als;Richtige Antwort:
8;2;5
18;5;3
22;4;6
33;6;4
44;7;3
46;4;1
55;8;0
59;4;5
61;2;8
92;4;9
94;2;1
95;8;4
96;4;1
97;9;7
114;9;7
133;9;7
139;9;4
151;3;9
158;2;3
159;9;4
166;9;4
171;3;7
184;2;8
185;4;9
189;4;1
190;7;1
191;4;1
195;9;3
200;2;3
213;7;3
217;8;6
218;9;5
222;0;2
230;2;3
233;3;8
241;8;9
242;0;8
244;7;2
245;5;3
247;6;4
250;9;4
251;4;1
261;2;5
282;3;7
286;2;6
290;4;8
300;9;4
301;9;7
307;9;7
313;5;3
318;0;2
320;3;9
321;3;2
324;4;0
328;9;7
338;0;8
340;3;5
346;8;0
350;7;1
352;0;5
355;4;8
362;3;2
376;9;4
428;9;4
435;9;8
443;8;0
447;9;4
448;5;9
449;5;3
450;5;3
453;2;3
457;8;6
460;9;5
471;7;9
479;5;9
483;4;5
486;5;8
502;3;5
508;8;6
520;4;8
527;0;8
528;5;3
531;2;3
538;4;8
542;4;8
543;9;8
551;3;7
552;8;0
553;6;8
560;7;9
563;5;8
565;9;4
566;4;6
569;5;3
571;9;4
577;7;3
582;4;8
583;3;2
593;7;9
596;5;8
601;7;8
613;3;2
614;7;3
619;5;1
625;2;6
628;7;3
638;9;5
646;6;2
655;2;8
659;3;2
661;8;0
677;2;3
685;3;8
689;9;7
691;9;8
699;7;3
700;4;1
707;9;4
712;9;4
716;7;1
720;8;5
723;6;0
726;4;7
729;8;6
738;0;2
740;9;4
741;3;2
748;9;4
752;9;4
760;9;4
779;9;5
787;3;8
791;9;5
798;8;1
810;9;7
817;0;6
829;5;4
840;7;1
841;9;7
857;3;5
872;4;8
877;0;8
881;9;4
883;5;3
885;4;6
890;5;3
894;8;3
898;3;7
902;9;4
916;5;4
924;8;2
926;8;2
938;5;3
939;8;2
944;5;3
951;4;5
956;5;1
959;9;4
965;8;6
989;8;6
991;5;3
994;5;1
998;2;8
1004;4;1
1010;9;4
1014;5;6
1032;4;5
1039;3;7
1059;9;4
1062;7;3
1068;4;8
1069;5;3
1077;9;4
1082;3;5
1091;9;7
1094;8;0
1101;2;8
1107;5;9
1112;8;4
1114;8;3
1116;9;4
1121;8;0
1124;5;8
1125;9;8
1141;3;7
1143;3;7
1153;8;6
1156;9;7
1157;9;4
1159;9;4
1161;2;6
1164;9;7
1166;2;3
1178;2;4
1181;2;6
1182;2;6
1197;8;0
1198;9;8
1204;7;3
1208;9;3
1212;8;6
1223;8;0
1224;6;2
1226;2;7
1228;5;9
1232;4;9
1240;7;1
1242;9;4
1247;5;9
1250;4;6
1256;3;2
1260;3;7
1270;9;4
1273;8;0
1276;9;7
1281;0;5
1286;5;8
1289;9;5
1291;5;3
1292;2;6
1299;3;5
1317;5;3
1324;9;8
1328;4;7
1330;9;4
1355;9;7
1356;3;2
1363;9;7
1364;5;8
