Ziffer-Index;Erkannt als;Richtige Antwort:
8;6;5
18;8;3
195;8;3
241;8;9
247;2;4
259;0;6
320;7;9
321;7;2
340;3;5
445;0;6
447;9;4
448;8;9
449;5;3
479;8;9
497;8;4
551;1;7
571;9;4
578;8;3
582;2;8
591;3;8
619;8;1
659;9;2
684;2;7
717;6;0
720;8;5
740;9;4
844;7;8
846;9;7
894;2;3
898;8;7
900;3;1
924;7;2
938;5;3
947;9;8
950;2;7
956;2;1
965;0;6
1014;5;6
1039;9;7
1062;7;3
1107;8;9
1112;6;4
1114;8;3
1173;9;7
1182;8;6
1194;9;7
1206;2;7
1226;2;7
1232;8;9
1242;9;4
1247;0;9
1256;9;2
1260;1;7
1263;9;4
1270;9;4
1283;2;7
1299;7;5
1319;0;8
1326;2;7
1331;8;5
1364;2;8
1378;6;5
1393;3;5
1414;7;9
1500;1;7
1522;9;7
1527;6;1
1530;7;8
1549;6;4
1551;3;2
1553;8;9
1609;6;2
1611;8;3
1634;9;4
1678;0;2
1681;7;3
1709;5;9
1717;0;8
1730;8;3
1737;2;5
1754;2;7
1772;4;7
1790;8;2
1850;7;8
1865;9;4
1883;9;7
1901;8;9
1903;3;7
1955;2;8
1956;9;4
1989;9;4
2016;2;7
2035;3;5
2043;8;4
2044;7;2
2053;9;4
2070;9;7
2098;0;2
2105;8;3
2109;7;3
2118;0;6
2130;9;4
2135;1;6
2148;9;4
2182;2;1
2185;8;0
2189;1;9
2266;6;1
2272;0;8
2280;8;3
2293;2;9
2325;3;7
2369;8;5
2387;1;9
2395;3;8
2404;2;4
2406;8;9
2408;5;3
2422;7;6
2433;1;2
2447;9;4
2454;8;6
2473;8;1
2488;4;2
2514;9;4
2556;8;5
2560;2;3
2578;2;7
2607;8;7
2648;0;9
2654;1;6
2745;2;3
2896;0;8
2907;9;4
2921;2;3
2925;0;5
2927;2;3
2952;5;3
2953;5;3
2970;3;5
2995;8;6
3005;8;9
3030;0;6
3060;7;9
3073;2;1
3084;9;7
3114;2;4
3117;9;5
3132;2;1
3133;9;4
3193;2;3
3206;3;8
3240;8;9
3288;9;4
3316;4;7
3329;3;7
3333;9;7
3388;9;4
3422;0;6
3475;9;3
3503;1;9
3511;7;2
3520;4;6
3549;2;3
3558;0;5
3573;2;7
3597;3;9
3629;3;8
3702;3;5
3718;9;4
3726;9;4
3751;8;7
3767;2;7
3769;9;3
3780;2;4
3796;8;2
3806;8;5
3808;8;7
3836;5;7
3838;1;7
3848;3;7
3853;8;6
3906;3;1
3926;8;9
3941;6;4
3946;8;2
3951;9;8
3962;2;3
4017;9;4
4063;5;6
4065;2;0
4075;0;8
4078;3;9
4102;9;7
4140;2;8
4152;1;5
4176;7;2
4199;9;7
4205;6;2
4211;5;6
4212;3;1
4224;7;9
4238;3;7
4248;1;2
4256;2;3
4265;8;4
4289;7;2
4306;7;3
4315;8;5
4359;7;5
4382;9;4
4400;3;7
4433;2;7
4500;1;9
4536;5;6
4540;9;7
4571;2;6
4575;2;4
4578;9;7
4615;4;2
4639;9;8
4731;7;8
4740;5;3
4751;6;4
4761;8;9
4763;6;5
4783;9;4
4785;9;3
4807;0;8
4808;5;3
4814;0;6
4826;9;4
4833;2;3
4837;2;7
4861;3;7
4874;0;9
4880;8;0
4886;1;7
4966;9;7
4990;2;3
5054;5;3
5067;2;3
5140;5;3
5159;9;4
5246;2;7
5278;9;8
5283;8;3
5288;9;8
5331;6;1
5561;9;4
5600;9;7
5620;9;7
5634;3;2
5642;8;1
5654;9;7
5734;7;3
5842;7;4
5887;0;7
5888;0;4
5926;9;4
5936;9;4
5955;8;3
5973;8;3
6011;8;3
6030;8;3
6059;8;3
6065;8;3
6071;3;9
6081;8;9
6091;0;9
6157;0;9
6172;0;9
6173;0;9
6505;0;9
6555;7;8
6558;2;6
6597;7;0
6598;2;5
6603;7;8
6625;7;8
6632;5;9
6641;5;8
6642;5;9
6651;5;0
6740;0;9
6744;8;2
6755;9;8
6783;6;1
6785;4;2
6945;9;8
7094;9;8
7121;9;8
7130;9;3
7216;6;0
7432;2;7
7434;8;4
7451;1;5
7476;2;3
7545;9;8
7595;8;3
7849;9;3
7859;9;5
7860;2;6
7886;9;2
7927;9;7
7928;8;1
7971;9;8
8020;8;1
8061;9;4
8062;8;5
8071;9;4
8081;6;4
8091;8;2
8094;8;2
8095;8;4
8115;8;3
8183;5;8
8246;5;3
8272;5;3
8277;5;3
8287;2;6
8296;5;3
8311;2;6
8326;2;6
8339;6;8
8362;5;3
8382;2;0
8408;6;8
8519;3;7
8520;9;4
9009;2;7
9015;2;7
9016;2;0
9019;2;7
9024;2;7
9036;2;7
9182;9;3
9534;9;7
9538;9;4
9614;5;3
9624;8;3
9634;3;0
9642;7;9
9662;8;3
9679;3;6
9698;5;6
9716;0;2
9729;6;5
9745;2;4
9749;6;5
9768;0;2
9770;0;5
9792;9;4
9811;8;2
9839;7;2
9856;5;9
9879;2;0
9883;6;5
9892;5;8
9905;7;3
9941;6;5
9943;8;3
9944;9;3
9970;3;5
9975;2;3
9982;6;5
