Ziffer-Index;Erkannt als;Richtige Antwort:
0;1;7
1;1;2
3;8;0
4;1;4
6;1;4
7;5;9
8;1;5
9;1;9
10;8;0
11;8;6
12;8;9
13;8;0
15;1;5
16;8;9
17;1;7
18;1;3
19;8;4
20;1;9
21;1;6
22;1;6
23;1;5
24;1;4
25;8;0
26;8;7
27;1;4
28;8;0
30;1;3
31;8;1
32;1;3
33;8;4
34;1;7
35;8;2
36;8;7
37;8;1
38;1;2
41;1;7
42;8;4
43;3;2
44;1;3
45;1;5
47;8;2
48;8;4
49;1;4
50;1;6
51;1;3
52;1;5
53;8;5
54;8;6
55;1;0
56;1;4
58;8;9
59;1;5
60;8;7
62;8;9
63;2;3
64;2;7
65;8;4
66;1;6
67;8;4
68;1;3
69;1;0
70;1;7
71;8;0
72;8;2
73;2;9
75;8;7
76;1;3
77;1;2
78;1;9
79;8;7
80;1;7
81;1;6
82;8;2
83;8;7
84;1;8
85;8;4
86;1;7
87;1;3
88;1;6
90;8;3
91;1;6
92;1;9
93;1;3
94;8;1
95;8;4
96;8;1
97;1;7
98;1;6
99;1;9
100;1;6
101;8;0
102;1;5
103;1;4
104;8;9
105;8;9
106;8;2
108;8;9
109;1;4
110;2;8
111;1;7
112;1;3
113;8;9
114;1;7
115;1;4
116;8;4
117;1;4
118;1;9
119;1;2
120;1;5
121;1;4
122;8;7
123;1;6
124;1;7
125;1;9
126;1;0
127;8;5
128;1;8
129;1;5
130;1;6
131;1;6
132;1;5
133;8;7
136;1;0
138;1;6
139;1;4
140;1;6
141;8;7
142;8;3
144;1;7
146;1;8
147;1;2
148;1;0
149;1;2
150;1;9
151;8;9
152;2;5
153;1;5
155;8;5
156;1;6
157;1;0
158;1;3
159;8;4
160;8;4
161;8;6
162;1;5
163;1;4
164;1;6
165;8;5
166;8;4
167;1;5
169;8;4
170;1;4
171;2;7
172;8;2
173;1;3
174;8;2
175;1;7
177;1;8
179;1;8
181;1;8
182;1;5
183;8;0
184;1;8
185;8;9
186;1;2
187;8;5
188;8;0
189;8;1
191;8;1
192;2;0
193;1;9
194;8;0
195;8;3
197;1;6
198;8;4
199;8;2
200;8;3
201;1;6
205;1;3
206;8;9
207;8;5
208;8;2
209;8;9
210;8;4
211;2;5
212;8;9
213;1;3
214;1;9
215;8;0
216;2;3
217;8;6
218;1;5
219;1;5
220;8;7
221;1;2
222;8;2
223;1;7
225;8;2
226;1;8
227;8;4
229;1;7
230;2;3
231;2;3
232;1;8
233;1;8
234;1;7
235;8;9
236;1;2
237;8;2
238;8;4
240;1;5
241;1;9
243;8;7
244;1;2
245;1;3
246;1;0
247;5;4
248;8;4
249;1;2
250;1;4
252;8;9
253;1;5
254;1;7
255;8;7
256;1;2
257;1;8
258;1;2
259;1;6
261;2;5
262;8;7
263;1;7
264;8;9
265;8;1
266;1;8
267;8;1
269;1;0
270;8;3
271;8;0
273;8;9
274;1;9
275;1;4
277;1;8
278;1;2
280;1;2
281;1;9
282;1;7
283;2;5
284;1;9
285;1;2
286;1;6
287;8;4
289;1;5
291;8;2
292;1;9
293;8;2
294;8;0
295;1;4
296;8;0
297;1;0
298;8;2
300;1;4
301;8;7
303;1;2
304;1;4
305;8;0
306;8;2
307;1;7
308;8;4
309;1;3
310;1;3
311;8;0
312;1;0
313;8;3
315;8;9
316;1;6
317;1;5
318;8;2
319;1;5
320;1;9
321;1;2
322;1;9
323;8;3
324;1;0
325;1;4
326;1;2
327;8;0
328;1;7
331;1;2
333;8;5
334;8;3
335;1;3
336;1;9
337;1;7
339;8;6
340;1;5
341;1;6
343;8;3
344;1;8
345;8;1
346;1;0
347;1;5
349;8;3
351;1;5
352;1;5
353;8;6
354;0;1
355;1;8
356;1;5
358;8;7
359;8;9
360;8;4
361;1;6
362;1;2
363;1;2
364;8;5
365;1;0
366;1;6
367;1;5
368;1;6
369;2;3
370;8;7
371;1;2
372;8;0
373;1;8
374;1;8
375;8;5
376;8;4
379;1;4
380;5;0
381;1;3
382;1;3
383;1;7
384;1;6
386;1;6
