Ziffer-Index;Erkannt als;Richtige Antwort:
8;0;5
11;8;6
18;6;3
22;4;6
33;0;4
46;3;1
54;2;6
59;7;5
62;8;9
65;9;4
66;2;6
73;8;9
77;7;2
80;9;7
92;8;9
96;3;1
97;9;7
111;1;7
115;9;4
119;8;2
121;6;4
139;9;4
144;9;7
151;2;9
159;9;4
164;4;6
167;4;5
175;1;7
191;3;1
193;3;9
195;2;3
217;5;6
218;7;5
227;9;4
233;9;8
241;3;9
242;9;8
243;9;7
245;6;3
247;6;4
250;9;4
259;0;6
261;1;5
282;9;7
290;4;8
295;9;4
300;6;4
307;9;7
313;5;3
317;4;5
318;3;2
320;1;9
321;8;2
325;9;4
340;3;5
341;4;6
344;5;8
349;7;3
352;0;5
362;7;2
376;9;4
381;7;3
389;7;9
403;9;8
405;9;4
406;0;5
411;9;7
412;3;5
433;7;5
435;7;8
443;8;0
444;8;2
445;0;6
448;8;9
457;5;6
460;9;5
461;4;6
464;7;3
468;8;7
478;6;5
479;3;9
483;0;5
495;0;8
498;8;0
502;2;5
507;5;3
511;8;4
514;0;6
515;8;3
528;6;3
532;9;4
543;3;8
547;8;2
550;9;7
551;1;7
552;8;0
565;9;4
571;9;4
572;9;8
578;8;3
582;2;8
591;3;8
605;9;7
606;3;8
610;9;4
613;8;2
619;8;1
624;8;2
628;9;3
629;6;2
638;9;5
645;6;5
654;0;5
658;4;7
659;9;2
661;8;0
667;1;7
684;2;7
689;9;7
691;4;8
692;7;5
694;8;5
707;9;4
710;3;5
712;9;4
717;6;0
720;6;5
728;8;2
730;0;7
738;8;2
740;9;4
741;8;2
748;9;4
760;9;4
774;9;4
791;4;5
800;3;8
823;0;2
832;9;7
839;3;8
844;7;8
866;8;5
881;9;4
894;2;3
898;2;7
924;7;2
926;8;2
935;7;5
939;0;2
943;1;6
944;9;3
947;9;8
950;2;7
951;4;5
952;4;6
956;6;1
959;5;4
960;9;7
965;0;6
975;3;2
982;8;3
991;8;3
994;3;1
1000;7;9
1003;3;5
1012;9;7
1014;4;6
1023;2;4
1024;8;4
1026;9;8
1032;8;5
1033;3;8
1039;9;7
1044;8;6
1050;6;2
1062;9;3
1079;0;6
1082;3;5
1089;8;5
1091;2;7
1096;0;7
1101;2;8
1107;3;9
1112;6;4
1114;8;3
1117;8;7
1119;2;7
1121;6;0
1125;9;8
1128;7;3
1135;1;5
1143;8;7
1153;5;6
1157;9;4
1159;9;4
1162;4;6
1168;7;5
1169;8;5
1173;9;7
1181;1;6
1185;9;8
1192;4;9
1194;9;7
1197;6;0
1198;4;8
1200;3;8
1202;5;8
1204;9;3
1206;2;7
1208;9;3
1224;6;2
1226;2;7
1228;3;9
1234;5;8
1242;9;4
1243;6;5
1247;0;9
1248;6;8
1250;1;6
1256;7;2
1260;1;7
1266;4;6
1267;3;8
1269;6;2
1270;9;4
1272;4;5
1273;6;0
1283;2;7
1288;8;0
1289;9;5
1299;7;5
1308;2;9
1317;8;3
1319;3;8
1326;2;7
1328;9;7
1331;3;5
1337;6;2
1345;6;2
1347;9;7
1348;0;2
1362;4;6
1374;3;2
1375;8;2
1384;9;3
1393;3;5
1404;8;0
1406;8;5
1410;6;2
1421;4;5
1422;2;4
1433;3;8
1436;8;6
1440;9;4
1444;0;6
1450;2;6
1453;9;4
1462;0;2
1464;7;8
1465;6;4
1466;0;5
1467;9;5
1476;0;5
1494;8;7
1500;1;7
1506;8;2
1514;8;2
1522;3;7
1523;6;8
1525;0;5
1527;6;1
1530;7;8
1549;6;4
1553;3;9
1557;9;4
1558;8;0
1559;3;9
1569;7;6
1571;9;4
1575;9;4
1581;8;7
1587;5;6
1601;7;3
1604;3;2
1609;6;2
1614;9;4
1626;5;6
1634;7;4
1637;3;5
1640;4;9
1641;6;5
1642;6;2
1660;2;7
1678;5;2
1681;7;3
1691;3;1
1695;7;9
1696;9;2
1709;5;9
1716;1;7
1717;0;8
1718;2;7
1721;9;7
1722;6;2
1727;8;3
1730;8;3
1737;2;5
1741;1;7
1747;8;5
1751;2;4
1754;2;7
1759;6;8
1767;9;4
1772;4;7
1774;5;8
1785;3;1
1790;7;2
1802;8;2
1813;5;8
1823;9;8
1839;8;2
1842;8;2
1850;7;8
1857;4;6
1865;9;4
1868;4;1
1878;3;8
1883;9;7
1899;3;8
1901;4;9
1917;8;5
1920;9;4
1930;4;2
1933;9;7
1940;0;5
1948;9;5
1952;3;9
1955;2;8
1956;9;4
1968;9;8
1970;3;5
1973;3;8
1981;9;6
1982;5;6
1984;0;2
1989;9;4
1993;8;1
2001;8;5
2004;9;8
2016;2;7
2024;9;7
2037;6;5
2040;4;5
2043;9;4
2044;7;2
2047;5;6
2048;9;7
2053;9;4
2054;7;9
2057;0;6
2058;8;2
2070;9;7
2073;0;5
2085;8;2
2090;9;4
2093;1;8
2098;0;2
2099;4;8
2109;7;3
2110;8;2
2115;0;7
2116;5;6
2118;3;6
2125;8;5
2129;8;9
2130;9;4
2134;4;5
2135;1;6
2138;8;2
2144;4;6
2148;9;4
2149;9;8
2159;7;5
2166;3;1
2168;2;8
2177;3;8
2182;2;1
2185;8;0
2186;3;2
2189;1;9
2192;3;5
2193;2;7
2197;6;4
2201;9;4
2203;3;8
2205;9;4
2214;3;5
2215;5;6
2224;6;5
