Ziffer-Index;Erkannt als;Richtige Antwort:
8;6;5
33;6;4
62;4;9
66;1;6
87;5;3
119;8;2
124;4;7
149;9;2
187;3;5
195;8;3
211;7;5
233;7;8
241;8;9
245;6;3
247;2;4
257;1;8
259;0;6
290;4;8
300;6;4
307;9;7
313;5;3
320;7;9
321;7;2
340;3;5
341;4;6
352;0;5
359;4;9
362;7;2
391;5;8
421;0;2
435;7;8
444;8;2
445;0;6
447;9;4
448;8;9
449;5;3
457;5;6
468;9;7
478;8;5
479;8;9
495;0;8
507;5;3
511;8;4
515;8;3
528;2;3
531;2;3
550;9;7
551;1;7
565;9;4
569;5;3
571;9;4
578;8;3
582;2;8
591;3;8
605;1;7
610;6;4
613;8;2
628;9;3
629;6;2
638;7;5
655;3;8
658;0;7
659;9;2
684;2;7
689;9;7
691;4;8
692;7;5
707;9;4
717;6;0
720;8;5
728;8;2
738;3;2
740;9;4
741;8;2
760;9;4
787;3;8
791;9;5
801;5;3
839;3;8
844;4;8
846;9;7
857;3;5
881;9;4
898;1;7
900;3;1
924;7;2
938;5;3
939;0;2
947;9;8
950;2;7
951;4;5
956;2;1
960;1;7
965;0;6
1012;9;7
1014;0;6
1032;8;5
1039;9;7
1044;8;6
1055;9;7
1068;4;8
1073;8;5
1082;3;5
1096;9;7
1101;2;8
1107;3;9
1112;6;4
1114;8;3
1119;3;7
1124;3;8
1157;9;4
1173;9;7
1181;1;6
1191;4;0
1192;4;9
1194;9;7
1198;4;8
1200;3;8
1204;7;3
1206;9;7
1208;8;3
1217;7;9
1226;2;7
1232;6;9
1234;5;8
1242;9;4
1247;0;9
1260;1;7
1263;9;4
1272;4;5
1283;2;7
1289;9;5
1291;5;3
1299;7;5
1310;7;3
1319;3;8
1326;2;7
1328;9;7
1337;6;2
1345;6;2
1347;9;7
1357;9;4
1364;6;8
1378;6;5
1391;9;4
1403;8;1
1413;9;4
1433;3;8
1444;4;6
1463;7;3
1465;6;4
1466;3;5
1467;9;5
1469;2;3
1494;0;7
1500;1;7
1514;8;2
1522;9;7
1525;0;5
1527;6;1
1530;7;8
1549;6;4
1553;8;9
1554;7;9
1569;9;6
1581;9;7
1587;5;6
1609;6;2
1621;6;0
1626;5;6
1634;7;4
1640;4;9
1641;6;5
1660;9;7
1671;9;7
1678;0;2
1681;7;3
1686;5;8
1695;7;9
1696;6;2
1702;3;8
1709;5;9
1718;9;7
1722;4;2
1727;7;3
1737;6;5
1740;3;8
1748;4;0
1749;3;2
1751;2;4
1754;2;7
1772;4;7
1773;5;1
1790;7;2
1798;5;3
1800;4;6
1813;5;8
1828;7;3
1832;5;3
1839;3;2
1850;7;8
1857;4;6
1865;9;4
1868;4;1
1878;2;8
1882;9;8
1901;4;9
1903;4;7
1913;2;3
1917;8;5
1930;4;2
1938;6;4
1952;5;9
1954;4;5
1955;2;8
1956;9;4
1968;1;8
1970;3;5
1973;5;8
1981;4;6
1984;0;2
1989;9;4
2001;8;5
2016;2;7
2024;9;7
