Ziffer-Index;Erkannt als;Richtige Antwort:
0;4;7
1;3;2
4;0;4
6;7;4
7;1;9
8;0;5
9;0;9
11;0;6
12;4;9
15;0;5
16;0;9
17;4;7
18;0;3
19;7;4
20;8;9
21;3;6
22;0;6
23;1;5
24;7;4
27;7;4
30;7;3
33;0;4
34;0;7
35;3;2
38;0;2
42;7;4
43;0;2
44;1;3
45;3;5
47;0;2
48;0;4
49;0;4
50;3;6
51;0;3
52;6;5
53;0;5
54;0;6
56;0;4
58;7;9
59;0;5
61;0;8
62;1;9
63;0;3
64;0;7
65;1;4
66;0;6
67;0;4
70;4;7
72;0;2
73;0;9
75;4;7
77;0;2
78;1;9
79;0;7
80;1;7
81;3;6
82;0;2
83;4;7
84;0;8
85;7;4
86;0;7
87;0;3
88;0;6
91;3;6
92;8;9
95;0;4
97;1;7
98;3;6
99;7;9
100;0;6
102;0;5
103;0;4
104;0;9
105;7;9
106;0;2
108;7;9
109;7;4
110;3;8
111;1;7
112;1;3
113;7;9
114;1;7
115;1;4
116;1;4
117;0;4
118;1;9
119;0;2
120;3;5
121;0;4
122;1;7
123;0;6
124;0;7
125;1;9
127;1;5
128;0;8
129;1;5
130;3;6
131;3;6
132;3;5
133;0;7
138;0;6
139;0;4
140;3;6
142;0;3
144;0;7
147;0;2
149;7;2
150;7;9
151;0;9
152;0;5
153;3;5
155;3;5
156;0;6
158;0;3
159;7;4
160;1;4
161;0;6
162;3;5
163;0;4
164;3;6
165;3;5
166;0;4
167;0;5
169;7;4
170;1;4
171;0;7
172;0;2
173;0;3
174;0;2
175;1;7
177;3;8
179;3;8
181;3;8
182;1;5
184;1;8
185;7;9
186;0;2
187;3;5
193;7;9
195;1;3
197;1;6
198;1;4
199;3;2
201;0;6
205;7;3
206;1;9
207;3;5
208;0;2
209;7;9
210;7;4
211;0;5
212;7;9
213;1;3
214;1;9
217;1;6
218;4;5
219;0;5
221;0;2
222;0;2
223;0;7
225;3;2
226;3;8
227;1;4
229;1;7
230;0;3
231;1;3
232;3;8
233;0;8
234;1;7
235;7;9
236;1;2
237;0;2
238;7;4
240;3;5
241;3;9
242;0;8
244;1;2
245;0;3
247;7;4
248;7;4
249;3;2
250;7;4
252;7;9
253;3;5
254;4;7
255;1;7
256;3;2
257;1;8
258;0;2
259;0;6
260;0;8
261;0;5
263;4;7
264;1;9
266;3;8
268;0;8
270;0;3
273;0;9
274;7;9
275;7;4
277;7;8
278;0;2
280;3;2
281;0;9
282;1;7
283;4;5
284;0;9
285;1;2
286;1;6
287;0;4
289;3;5
290;0;8
291;3;2
292;0;9
293;0;2
295;7;4
298;0;2
299;3;8
300;1;4
301;0;7
303;0;2
304;1;4
306;0;2
307;1;7
309;0;3
313;0;3
315;0;9
316;1;6
317;0;5
318;0;2
319;0;5
320;1;9
321;4;2
322;7;9
325;1;4
326;1;2
328;1;7
331;3;2
333;0;5
336;0;9
337;4;7
338;0;8
339;0;6
340;3;5
341;3;6
343;0;3
344;3;8
347;3;5
349;7;3
351;3;5
352;0;5
353;0;6
354;8;1
356;3;5
359;7;9
360;0;4
361;0;6
362;0;2
363;0;2
364;3;5
366;0;6
367;0;5
368;3;6
369;0;3
370;4;7
371;0;2
373;3;8
374;1;8
375;3;5
376;1;4
379;7;4
381;0;3
383;4;7
384;0;6
386;3;6
387;7;2
389;1;9
390;0;2
391;3;8
392;1;6
394;7;9
395;3;5
396;0;2
397;3;5
398;7;4
399;7;4
400;0;2
401;1;8
402;0;3
403;4;8
404;0;2
405;0;4
406;3;5
411;1;7
412;3;5
414;7;9
415;4;7
417;1;9
418;0;2
420;0;4
421;0;2
422;7;9
423;0;2
425;0;4
426;1;9
428;7;4
429;3;8
431;0;8
432;1;4
433;0;5
434;1;9
435;1;8
437;0;3
438;4;7
439;1;6
443;1;0
444;0;2
445;0;6
446;3;6
447;0;4
448;3;9
449;0;3
452;0;2
453;0;3
454;0;9
456;1;2
457;3;6
460;4;5
461;0;6
462;0;6
463;0;6
464;0;3
465;3;8
466;0;8
467;0;2
468;0;7
469;3;5
470;3;8
471;1;9
472;0;6
474;3;8
475;0;4
477;3;2
478;3;5
479;0;9
481;7;9
483;0;5
484;7;4
486;0;8
487;7;9
488;1;9
491;0;5
492;3;2
493;0;3
494;4;7
495;0;8
496;7;9
497;1;4
499;1;6
500;0;3
501;7;9
502;0;5
503;0;2
507;1;3
508;3;6
509;0;5
510;0;7
511;1;4
512;3;2
513;3;2
514;0;6
515;1;3
516;0;2
517;0;6
518;3;5
519;1;4
521;1;9
523;0;1
524;0;3
526;0;3
527;0;8
528;0;3
530;7;9
531;1;3
532;1;4
533;0;4
534;3;6
535;7;4
536;1;2
539;0;2
540;0;5
541;0;4
542;1;8
543;7;8
544;7;4
547;3;2
548;1;3
549;0;2
550;1;7
551;1;7
552;3;0
553;0;8
554;0;7
555;7;4
556;0;4
558;7;9
559;0;6
560;1;9
562;7;9
563;3;8
565;1;4
566;1;6
568;3;6
569;0;3
570;0;5
571;0;4
572;1;8
573;0;3
574;7;3
575;1;9
577;7;3
579;8;7
580;3;8
582;0;8
583;0;2
585;4;7
587;0;6
588;0;5
589;1;4
591;3;8
593;1;9
594;3;6
595;0;3
596;0;8
598;1;9
599;7;9
600;0;6
602;0;6
603;1;8
604;3;5
605;8;7
606;0;8
607;0;6
609;0;2
610;7;4
612;1;2
613;8;2
614;1;3
615;0;1
616;1;9
617;0;7
618;0;5
621;1;8
622;7;4
623;0;6
624;0;2
625;0;6
626;0;7
627;7;9
628;6;3
629;0;2
630;7;9
631;0;8
632;3;2
633;0;2
634;0;9
635;0;2
636;4;7
637;0;3
638;0;5
639;1;9
641;3;8
643;0;2
645;3;5
646;0;2
648;0;3
649;4;7
650;1;6
651;4;7
653;1;2
654;0;5
655;3;8
658;0;7
659;7;2
660;0;4
661;1;0
662;1;9
664;0;8
665;0;6
666;1;7
667;1;7
668;1;4
669;1;3
670;0;4
671;0;9
673;0;9
674;3;5
676;0;7
677;0;3
678;7;9
679;1;7
680;0;6
681;7;9
683;1;3
684;0;7
685;3;8
687;0;3
688;1;6
689;1;7
690;3;2
691;0;8
692;8;5
693;1;8
694;0;5
697;7;4
698;0;4
699;1;3
702;1;7
705;4;7
706;7;9
707;1;4
708;7;4
709;3;8
710;0;5
711;0;5
712;7;4
714;0;8
715;0;2
718;3;8
719;0;4
720;0;5
