Ziffer-Index;Erkannt als;Richtige Antwort:
6;8;4
8;0;5
9;7;9
11;2;6
12;4;9
15;0;5
18;6;3
20;7;9
22;2;6
24;9;4
33;0;4
38;1;2
45;3;5
46;3;1
52;0;5
53;3;5
54;2;6
59;4;5
61;6;8
63;2;3
65;3;4
66;2;6
73;8;9
77;7;2
78;7;9
80;9;7
84;4;8
92;8;9
96;8;1
97;1;7
98;0;6
100;2;6
104;4;9
109;9;4
110;3;8
111;1;7
115;6;4
116;8;4
118;8;9
120;3;5
121;6;4
122;9;7
132;3;5
139;7;4
149;3;2
151;7;9
153;3;5
158;0;3
159;1;4
165;3;5
167;3;5
169;9;4
170;9;4
171;2;7
172;3;2
175;1;7
184;3;8
185;4;9
187;3;5
189;6;1
191;8;1
193;3;9
211;7;5
217;1;6
218;7;5
219;0;5
225;8;2
227;8;4
233;7;8
235;7;9
240;3;5
241;3;9
242;6;8
243;9;7
245;6;3
247;6;4
250;9;4
253;3;5
257;1;8
259;0;6
261;1;5
268;3;8
273;7;9
274;7;9
277;1;8
281;8;9
282;1;7
283;7;5
284;4;9
289;3;5
290;3;8
295;3;4
299;3;8
300;1;4
304;1;4
307;2;7
313;5;3
317;8;5
318;0;2
320;1;9
321;1;2
325;6;4
340;6;5
341;7;6
344;5;8
347;4;5
349;7;3
351;3;5
352;0;5
354;2;1
356;3;5
360;6;4
362;7;2
363;1;2
366;1;6
367;3;5
370;9;7
373;3;8
376;9;4
381;7;3
386;0;6
394;7;9
395;3;5
397;3;5
399;2;4
401;3;8
403;7;8
405;3;4
406;0;5
411;1;7
412;3;5
420;7;4
425;9;4
426;3;9
429;4;8
432;9;4
433;4;5
435;1;8
443;3;0
444;8;2
445;0;6
448;8;9
454;7;9
456;1;2
460;9;5
464;7;3
468;2;7
478;8;5
479;3;9
483;4;5
488;7;9
491;3;5
495;6;8
497;8;4
498;8;0
501;2;9
502;2;5
507;5;3
508;8;6
509;3;5
511;8;4
514;2;6
519;9;4
520;1;8
523;2;1
524;6;3
528;9;3
531;1;3
532;8;4
533;2;4
535;0;4
536;1;2
540;3;5
542;1;8
543;3;8
551;1;7
552;6;0
553;6;8
559;0;6
560;7;9
562;4;9
565;9;4
569;5;3
570;0;5
571;9;4
578;8;3
582;3;8
585;9;7
588;0;5
589;3;4
591;3;8
593;7;9
596;5;8
602;2;6
606;3;8
610;6;4
613;8;2
614;1;3
615;2;1
619;6;1
624;3;2
627;2;9
628;9;3
629;6;2
630;4;9
637;1;3
638;7;5
639;7;9
641;3;8
645;6;5
646;6;2
653;1;2
654;0;5
655;3;8
658;4;7
659;7;2
660;9;4
661;6;0
667;1;7
668;1;4
670;8;4
671;2;9
673;6;9
674;3;5
677;2;3
684;2;7
689;9;7
691;6;8
692;7;5
693;1;8
694;8;5
698;9;4
703;9;7
707;9;4
708;3;4
710;3;5
711;0;5
712;9;4
714;3;8
717;6;0
726;3;7
728;8;2
730;0;7
733;3;9
734;1;3
736;2;4
738;8;2
739;3;5
740;9;4
741;1;2
748;9;4
758;4;9
760;7;4
774;3;4
780;0;3
781;3;8
785;3;5
787;3;8
789;9;4
791;7;5
795;6;3
797;8;5
800;3;8
801;6;3
803;2;4
806;3;8
810;2;7
812;3;5
813;7;9
817;0;6
829;6;4
834;1;6
837;1;2
839;3;8
841;9;7
844;3;8
846;0;7
856;4;5
857;1;5
866;3;5
874;7;9
876;3;8
877;6;8
878;3;8
881;9;4
882;7;9
893;7;9
894;6;3
898;1;7
899;3;8
901;3;4
902;3;4
906;4;9
913;4;9
915;9;8
919;6;2
922;8;2
924;7;2
928;4;9
930;1;7
931;3;4
934;9;5
935;4;5
936;6;8
939;0;2
943;1;6
944;5;3
946;8;7
947;9;8
950;2;7
951;4;5
952;2;6
955;6;5
956;6;1
958;0;3
959;5;4
960;1;7
965;0;6
966;7;9
968;8;4
970;3;5
973;2;6
978;3;5
990;1;2
998;6;8
999;4;9
1000;7;9
1003;3;5
1007;1;8
1012;9;7
1014;0;6
1015;7;4
1017;2;6
1022;9;5
1023;2;4
1024;8;4
1026;9;8
1032;8;5
1033;1;8
1043;9;4
1044;8;6
1046;3;5
1050;0;2
1051;0;4
1052;9;8
1055;4;7
1060;9;4
1062;9;3
1063;7;9
1070;0;5
1072;1;3
1073;4;5
1077;9;4
1078;2;4
1081;3;9
1082;3;5
1086;4;9
1089;6;5
1091;1;7
1092;1;3
1096;0;7
1101;2;8
1107;3;9
1112;6;4
1113;3;5
1115;9;5
1116;6;4
1117;2;7
1119;2;7
1125;7;8
1128;6;3
1131;4;5
1135;1;5
1142;8;4
1144;3;5
1145;2;4
1146;3;5
1153;8;6
1157;1;4
1159;8;4
1160;6;4
1164;9;7
1168;4;5
1169;8;5
1176;3;0
1181;1;6
1183;4;9
1185;4;8
1186;4;7
1190;3;5
1192;8;9
1196;1;6
1197;6;0
1198;3;8
